"year","month","day","country","region","city","attacktype","nkill","nwound"
1982,4,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,4,8,Israel,Middle East & North Africa,"Kabatia",Assassination,1,0
1982,4,9,Israel,Middle East & North Africa,"Madabsa",Armed Assault,0,0
1982,4,12,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1982,4,13,Israel,Middle East & North Africa,"Argaman",Bombing/Explosion,0,0
1982,4,13,Israel,Middle East & North Africa,"El Birah",Bombing/Explosion,0,0
1982,4,13,Israel,Middle East & North Africa,"Moshan Argaman",Bombing/Explosion,0,0
1982,4,13,Israel,Middle East & North Africa,"Bka'ot",Armed Assault,0,0
1982,4,14,Israel,Middle East & North Africa,"Beit Sahu",Facility/Infrastructure Attack,0,0
1982,4,15,Israel,Middle East & North Africa,"Ashdod-Ashkalon Road Junction",Bombing/Explosion,0,1
1982,4,15,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1982,4,26,Israel,Middle East & North Africa,"Beit Lehen",Bombing/Explosion,0,0
1982,4,29,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1982,4,30,Israel,Middle East & North Africa,"Nur e Shames",Armed Assault,0,0
1982,5,0,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1982,5,0,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1982,5,1,Israel,Middle East & North Africa,"El-Hades",Armed Assault,0,0
1982,5,3,Israel,Middle East & North Africa,"Jebala",Bombing/Explosion,1,1
1982,5,3,Israel,Middle East & North Africa,"Dir el Balah",Armed Assault,0,0
1982,5,4,Israel,Middle East & North Africa,"Beit Sahu",Armed Assault,0,0
1982,5,9,Israel,Middle East & North Africa,"Dimona",Bombing/Explosion,0,0
1982,5,9,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1982,5,11,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1982,5,11,Israel,Middle East & North Africa,"Hosea",Bombing/Explosion,0,1
1982,5,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,5,14,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,5,15,Israel,Middle East & North Africa,"Ashdod",Bombing/Explosion,0,0
1982,5,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,5,20,Israel,Middle East & North Africa,"el Azasia",Facility/Infrastructure Attack,0,0
1982,5,24,Israel,Middle East & North Africa,"Dir el Balah",Armed Assault,0,0
1982,5,24,Israel,Middle East & North Africa,"Bet Shemesh",Bombing/Explosion,0,0
1982,5,27,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1982,5,29,Israel,Middle East & North Africa,"el Birah",Bombing/Explosion,0,0
1982,6,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,7,30,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,8,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,8,5,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1982,8,5,Israel,Middle East & North Africa,"Sager",Bombing/Explosion,0,1
1982,9,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,10,24,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1982,11,1,Israel,Middle East & North Africa,"Kefar Sava",Bombing/Explosion,0,0
1982,11,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,11,7,Israel,Middle East & North Africa,"Assira",Assassination,1,0
1982,11,8,Israel,Middle East & North Africa,"Herzliyya",Bombing/Explosion,0,3
1982,11,8,Israel,Middle East & North Africa,"Hezliyya",Bombing/Explosion,0,0
1982,12,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,12,14,Israel,Middle East & North Africa,"Herzliya",Bombing/Explosion,0,0
1983,1,4,Israel,Middle East & North Africa,"Ein Karem",Bombing/Explosion,0,0
1983,1,8,Israel,Middle East & North Africa,"Tel-Aviv",Bombing/Explosion,0,12
1983,1,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1983,1,30,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1983,2,0,Israel,Middle East & North Africa,"Unknown",Bombing/Explosion,0,0
1983,2,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1983,2,10,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,9
1983,2,15,Israel,Middle East & North Africa,"El-Hadar Village",Bombing/Explosion,0,0
1983,2,16,Israel,Middle East & North Africa,"Beit Lehem-Itebrow",Armed Assault,0,0
1983,2,17,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1983,2,24,Israel,Middle East & North Africa,"Kibbutz E'elim",Bombing/Explosion,5,0
1983,2,25,Israel,Middle East & North Africa,"Zeelim",Bombing/Explosion,5,3
1983,2,27,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1983,2,27,Israel,Middle East & North Africa,"Kafr Saba",Bombing/Explosion,0,0
1983,2,27,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1983,3,26,Israel,Middle East & North Africa,"Beit Lechem",Bombing/Explosion,0,0
1983,4,2,Israel,Middle East & North Africa,"Negev",Bombing/Explosion,0,0
1983,4,4,Israel,Middle East & North Africa,"Tul Karem",Facility/Infrastructure Attack,0,0
1983,4,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1983,4,19,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1983,5,10,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1983,6,3,Israel,Middle East & North Africa,"Negev",Bombing/Explosion,0,0
1983,6,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1983,6,13,Israel,Middle East & North Africa,"Negev",Bombing/Explosion,0,0
1983,6,18,Israel,Middle East & North Africa,"Kalkilya",Armed Assault,0,0
1983,6,28,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1983,6,29,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1983,6,29,Israel,Middle East & North Africa,"AL-Arub",Facility/Infrastructure Attack,0,0
1983,7,31,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1983,12,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,5,42
1983,12,21,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1984,1,2,Israel,Middle East & North Africa,"Kabatiyeh",Armed Assault,0,0
1984,1,13,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,1,15,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,1,15,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,1,21,Israel,Middle East & North Africa,"JAT",Armed Assault,0,0
1984,1,27,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,1,30,Israel,Middle East & North Africa,"umm-AL-FAHM",Bombing/Explosion,0,0
1984,2,10,Israel,Middle East & North Africa,"MAZRAA AL SHARQIYA",Armed Assault,0,0
1984,2,23,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1984,2,25,Israel,Middle East & North Africa,"Ramat Kidron",Facility/Infrastructure Attack,0,0
1984,2,26,Israel,Middle East & North Africa,"Sapir",Armed Assault,0,0
1984,2,28,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,21
1984,3,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,3,7,Israel,Middle East & North Africa,"Ashdod",Bombing/Explosion,3,9
1984,4,2,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,48
1984,4,12,Israel,Middle East & North Africa,"Unknown",Hostage Taking (Barricade Incident),3,7
1984,4,23,Israel,Middle East & North Africa,"Khirbat",Bombing/Explosion,0,2
1984,6,7,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,7,12,Israel,Middle East & North Africa,"Shilo",Bombing/Explosion,0,0
1984,8,7,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,8,15,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1984,11,3,Israel,Middle East & North Africa,"Bet She'an",Bombing/Explosion,0,0
1984,11,28,Israel,Middle East & North Africa,"Petah Tiqwa",Facility/Infrastructure Attack,0,0
1984,12,17,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,3
1984,12,19,Israel,Middle East & North Africa,"Al-Duhayshah",Armed Assault,0,0
1985,1,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,1,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,5,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,5,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,5,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,5,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,6,24,Israel,Middle East & North Africa,"Neve Ya'aqov",Bombing/Explosion,0,1
1985,7,10,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1985,9,2,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,6
1985,9,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1985,9,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1985,9,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1985,9,26,Israel,Middle East & North Africa,"Halhoul",Armed Assault,0,7
1985,9,29,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1985,9,29,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,5
1985,9,29,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,5
1985,9,29,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1985,10,11,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,1
1985,10,23,Israel,Middle East & North Africa,"Afula",Bombing/Explosion,0,5
1985,12,23,Israel,Middle East & North Africa,"Tel Aviv",Facility/Infrastructure Attack,0,0
1986,1,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1986,2,13,Israel,Middle East & North Africa,"Afuca",Bombing/Explosion,0,0
1986,2,13,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1986,2,14,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,6
1986,2,28,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1986,3,4,Israel,Middle East & North Africa,"Anabta",Armed Assault,0,0
1986,3,7,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1986,3,7,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,1
1986,3,11,Israel,Middle East & North Africa,"Ramat Gun",Bombing/Explosion,0,1
1986,3,20,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,3
1986,4,2,Israel,Middle East & North Africa,"Bet Shemesh",Bombing/Explosion,0,0
1986,4,8,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,10
1986,4,8,Israel,Middle East & North Africa,"Afula",Bombing/Explosion,0,1
1986,5,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1986,5,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1986,5,21,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1986,5,25,Israel,Middle East & North Africa,"Kefar Sava",Bombing/Explosion,0,1
1986,5,25,Israel,Middle East & North Africa,"Kafr Saba",Bombing/Explosion,0,0
1986,5,25,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1986,5,25,Israel,Middle East & North Africa,"Ashqelon",Bombing/Explosion,0,0
1986,5,25,Israel,Middle East & North Africa,"Kefar Sava",Bombing/Explosion,0,0
1986,6,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1986,6,11,Israel,Middle East & North Africa,"Ramat Gan",Bombing/Explosion,0,1
1986,6,15,Israel,Middle East & North Africa,"Tel Aviv",Unknown,0,0
1986,6,22,Israel,Middle East & North Africa,"Ashdod",Bombing/Explosion,0,1
1986,6,26,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1986,6,26,Israel,Middle East & North Africa,"Kfar Saba",Bombing/Explosion,0,1
1986,6,26,Israel,Middle East & North Africa,"South of Tel Aviv",Bombing/Explosion,0,6
1986,6,28,Israel,Middle East & North Africa,"Kfar Saba Settlement",Bombing/Explosion,0,0
1986,6,29,Israel,Middle East & North Africa,"Kefar Saba",Bombing/Explosion,0,1
1986,6,30,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,5
1986,6,30,Israel,Middle East & North Africa,"Yafo",Bombing/Explosion,0,0
1986,6,30,Israel,Middle East & North Africa,"Tel Aviv",Unknown,0,5
1986,7,13,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,1
1986,7,18,Israel,Middle East & North Africa,"Bayt-Ayn Al Alma",Armed Assault,0,0
1986,7,21,Israel,Middle East & North Africa,"Ashqelon",Bombing/Explosion,0,0
1986,7,26,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1986,7,28,Israel,Middle East & North Africa,"Southern Lebanon Border",Bombing/Explosion,0,0
1986,8,4,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1986,8,12,Israel,Middle East & North Africa,"Netanya",Bombing/Explosion,0,0
1986,8,20,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,27,0
1986,9,27,Israel,Middle East & North Africa,"AS HQ ELON",Assassination,1,0
1986,10,15,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,70
1986,11,15,Israel,Middle East & North Africa,"Jerusalem",Assassination,2,0
1986,11,16,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1986,11,21,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1986,11,21,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,1,0
1986,12,15,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,1
1987,2,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,9
1987,2,17,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,2
1987,2,22,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,18
1987,4,23,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1987,6,4,Israel,Middle East & North Africa,"Kefar Sava",Bombing/Explosion,0,0
1987,6,16,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,1,0
1987,6,16,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1987,6,27,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,2
1987,6,27,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,2
1987,7,5,Israel,Middle East & North Africa,"Kalkilya",Bombing/Explosion,0,15
1987,8,6,Israel,Middle East & North Africa,"Qalqilyah",Armed Assault,0,2
1987,8,14,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,5
1987,9,24,Israel,Middle East & North Africa,"Megiddo Junction",Assassination,1,0
1987,10,1,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1987,10,11,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1987,11,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1987,11,25,Israel,Middle East & North Africa,"Kiryat Shemona",Armed Assault,6,5
1987,11,26,Israel,Middle East & North Africa,"Jerusalem",Assassination,2,0
1987,12,13,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1987,12,13,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1987,12,17,Israel,Middle East & North Africa,"Anabta",Armed Assault,0,0
1987,12,17,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1987,12,30,Israel,Middle East & North Africa,"Yehuda",Assassination,0,2
1988,2,19,Israel,Middle East & North Africa,"Petah Tikvah",Bombing/Explosion,0,0
1988,2,21,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,2,23,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1988,2,28,Israel,Middle East & North Africa,"Rishon Leziyyon",Bombing/Explosion,0,0
1988,3,3,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,3,3,Israel,Middle East & North Africa,"Kefar Sava",Bombing/Explosion,0,0
1988,3,6,Israel,Middle East & North Africa,"Araur Junction",Hijacking,6,0
1988,3,6,Israel,Middle East & North Africa,"Nahariyya",Bombing/Explosion,0,5
1988,3,11,Israel,Middle East & North Africa,"Oiyrat Arba",Bombing/Explosion,0,0
1988,3,19,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,3,19,Israel,Middle East & North Africa,"Hura",Armed Assault,0,0
1988,3,29,Israel,Middle East & North Africa,"Dabburiya",Armed Assault,0,0
1988,4,4,Israel,Middle East & North Africa,"Burqa",Armed Assault,0,0
1988,4,8,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,5,25,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1988,6,2,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1988,6,6,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1988,6,12,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,6,12,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,6,12,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,6,12,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1988,7,14,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,8,11,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,8,11,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,8,11,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,8,11,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,8,20,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,1,25
1988,8,21,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,3
1988,8,24,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1988,10,2,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,3
1988,10,6,Israel,Middle East & North Africa,"Umm Fahm",Assassination,1,0
1988,10,7,Israel,Middle East & North Africa,"Burqa",Assassination,1,0
1988,10,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1988,12,7,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1988,12,26,Israel,Middle East & North Africa,"Al-Manara",Armed Assault,3,7
1989,1,1,Israel,Middle East & North Africa,"Bene Beraq",Bombing/Explosion,0,0
1989,1,5,Israel,Middle East & North Africa,"Yakir",Assassination,1,0
1989,1,8,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1989,1,9,Israel,Middle East & North Africa,"Ginnot Shomron",Armed Assault,0,0
1989,1,9,Israel,Middle East & North Africa,"Tekoa",Bombing/Explosion,0,0
1989,1,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1989,1,30,Israel,Middle East & North Africa,"Beit Lid",Assassination,1,0
1989,2,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1989,2,18,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1989,2,22,Israel,Middle East & North Africa,"Hermon",Bombing/Explosion,0,0
1989,2,23,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1989,3,2,Israel,Middle East & North Africa,"Zar'it",Armed Assault,4,0
1989,3,20,Israel,Middle East & North Africa,"Petah Tikva",Assassination,0,0
1989,3,21,Israel,Middle East & North Africa,"Tel Aviv",Assassination,1,2
1989,3,21,Israel,Middle East & North Africa,"Petah Tiqua",Bombing/Explosion,0,0
1989,3,21,Israel,Middle East & North Africa,"Petah Tiqua",Bombing/Explosion,0,0
1989,3,24,Israel,Middle East & North Africa,"Nazareth",Armed Assault,0,0
1989,3,25,Israel,Middle East & North Africa,"Village of Arraba",Bombing/Explosion,0,0
1989,3,31,Israel,Middle East & North Africa,"Petah Tiqua",Bombing/Explosion,0,0
1989,4,11,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,3
1989,4,12,Israel,Middle East & North Africa,"Moshav Ram On",Bombing/Explosion,0,0
1989,4,16,Israel,Middle East & North Africa,"Pardes Kaz",Bombing/Explosion,0,0
1989,4,19,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1989,4,22,Israel,Middle East & North Africa,"South Israel",Assassination,0,0
1989,4,25,Israel,Middle East & North Africa,"Tamoun",Hostage Taking (Kidnapping),1,0
1989,4,26,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1989,4,28,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1989,4,28,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1989,5,3,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,4
1989,5,3,Israel,Middle East & North Africa,"Kiryat Malachi",Hostage Taking (Kidnapping),0,0
1989,5,4,Israel,Middle East & North Africa,"al-Mawayra",Assassination,1,0
1989,5,4,Israel,Middle East & North Africa,"Tamra",Assassination,1,0
1989,5,4,Israel,Middle East & North Africa,"Tel Aviv",Facility/Infrastructure Attack,0,0
1989,5,14,Israel,Middle East & North Africa,"Petah Tiqua",Bombing/Explosion,0,0
1989,5,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1989,5,28,Israel,Middle East & North Africa,"Metulla",Bombing/Explosion,0,0
1989,6,5,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1989,6,5,Israel,Middle East & North Africa,"Al Khidr",Armed Assault,0,0
1989,6,21,Israel,Middle East & North Africa,"Tel Aviv",Assassination,0,1
1989,6,22,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1989,6,28,Israel,Middle East & North Africa,"Ramle",Bombing/Explosion,0,4
1989,6,28,Israel,Middle East & North Africa,"Ramla",Bombing/Explosion,0,4
1989,7,9,Israel,Middle East & North Africa,"Ramin",Assassination,1,0
1989,7,13,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1989,7,13,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,3
1989,8,11,Israel,Middle East & North Africa,"Tammun",Bombing/Explosion,0,3
1989,8,30,Israel,Middle East & North Africa,"Galilee",Bombing/Explosion,0,0
1989,8,31,Israel,Middle East & North Africa,"Tel Aviv",Assassination,0,0
1989,8,31,Israel,Middle East & North Africa,"Kiryat Shmona",Bombing/Explosion,0,0
1989,9,2,Israel,Middle East & North Africa,"Kfar Ruppin",Armed Assault,2,1
1989,9,3,Israel,Middle East & North Africa,"Galilee District",Assassination,1,2
1989,9,5,Israel,Middle East & North Africa,"Zarit",Armed Assault,1,0
1989,9,7,Israel,Middle East & North Africa,"Tel Aviv",Assassination,1,0
1989,9,7,Israel,Middle East & North Africa,"Israel-Syria-Jordan border",Bombing/Explosion,0,0
1989,9,8,Israel,Middle East & North Africa,"Pardes Hanna",Bombing/Explosion,0,0
1989,9,9,Israel,Middle East & North Africa,"Qalqilyah",Assassination,1,0
1989,9,9,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,1
1989,9,13,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,0
1989,9,16,Israel,Middle East & North Africa,"Ashdod Yaacor",Armed Assault,0,2
1989,9,19,Israel,Middle East & North Africa,"Beit Sahour",Assassination,0,0
1989,9,19,Israel,Middle East & North Africa,"Haifa",Facility/Infrastructure Attack,0,10
1989,9,20,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,1
1989,9,20,Israel,Middle East & North Africa,"Qiryat Shemona",Bombing/Explosion,0,0
1989,9,22,Israel,Middle East & North Africa,"Jabalyan",Bombing/Explosion,0,0
1989,9,23,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1989,9,24,Israel,Middle East & North Africa,"near Jerusalem",Facility/Infrastructure Attack,0,0
1989,10,1,Israel,Middle East & North Africa,"Tammum",Assassination,1,0
1989,10,16,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1989,10,16,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1989,10,23,Israel,Middle East & North Africa,"Beit Hanoun",Hostage Taking (Kidnapping),1,0
1989,10,30,Israel,Middle East & North Africa,"Rosh Haniqra",Bombing/Explosion,1,1
1989,11,5,Israel,Middle East & North Africa,"Tel Aviv",Assassination,0,1
1989,11,5,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,1
1989,11,8,Israel,Middle East & North Africa,"Ramle",Assassination,0,1
1989,11,8,Israel,Middle East & North Africa,"Kafr Saffa",Assassination,1,0
1989,11,9,Israel,Middle East & North Africa,"Metulla",Bombing/Explosion,0,0
1989,11,24,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,0
1989,11,24,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,0
1989,11,27,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1989,12,0,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,0
1989,12,4,Israel,Middle East & North Africa,"Tel Aviv",Assassination,0,1
1989,12,13,Israel,Middle East & North Africa,"Katzir",Bombing/Explosion,0,0
1989,12,21,Israel,Middle East & North Africa,"Tel Aviv",Facility/Infrastructure Attack,0,0
1989,12,21,Israel,Middle East & North Africa,"Tel Aviv",Facility/Infrastructure Attack,0,0
1989,12,26,Israel,Middle East & North Africa,"Megiddo",Armed Assault,0,0
1989,12,28,Israel,Middle East & North Africa,"Salem Village",Hostage Taking (Kidnapping),1,0
1990,1,1,Israel,Middle East & North Africa,"Tel Aviv",Assassination,0,0
1990,1,3,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,0
1990,1,4,Israel,Middle East & North Africa,"Gesher",Armed Assault,0,0
1990,1,5,Israel,Middle East & North Africa,"Himmeh",Armed Assault,0,0
1990,1,6,Israel,Middle East & North Africa,"Qabatiyah",Unknown,0,0
1990,1,7,Israel,Middle East & North Africa,"Ibtin",Armed Assault,0,0
1990,1,14,Israel,Middle East & North Africa,"Shweikeh",Hostage Taking (Kidnapping),1,0
1990,1,15,Israel,Middle East & North Africa,"Jerusalem",Assassination,0,1
1990,1,18,Israel,Middle East & North Africa,"Beersheba",Hostage Taking (Kidnapping),0,0
1990,1,19,Israel,Middle East & North Africa,"Jatt",Assassination,0,1
1990,1,19,Israel,Middle East & North Africa,"Hablah",Bombing/Explosion,0,0
1990,1,20,Israel,Middle East & North Africa,"Jerusalem",Unarmed Assault,0,0
1990,1,31,Israel,Middle East & North Africa,"Jamaleh",Assassination,1,0
1990,2,3,Israel,Middle East & North Africa,"Beit",Facility/Infrastructure Attack,0,0
1990,3,2,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
